震级,日期,时间,纬度,经度,深度,地点
4.0,2023-10-23,21:19:20,22.94,121.42,25,台湾台东县海域
5.8,2023-10-23,18:10:14,-29.80,-177.00,10,新西兰克马德克群岛
4.4,2023-10-23,16:43:36,31.51,88.26,8,西藏那曲市申扎县
4.7,2023-10-23,14:10:39,33.57,91.30,10,青海海西州唐古拉地区
3.2,2023-10-23,12:04:48,39.39,97.32,8,甘肃酒泉市肃北县
5.0,2023-10-23,03:20:22,23.32,117.39,10,广东汕头市南澳县海域
4.7,2023-10-22,23:14:12,39.38,97.33,10,甘肃酒泉市肃北县
5.0,2023-10-22,09:54:18,27.81,84.74,10,尼泊尔
3.0,2023-10-21,17:08:23,34.67,103.85,10,甘肃甘南州临潭县
3.0,2023-10-21,04:50:27,36.51,83.75,10,新疆和田地区民丰县
3.3,2023-10-21,03:52:43,36.47,83.79,20,新疆和田地区民丰县
3.1,2023-10-20,17:56:34,39.64,82.82,25,新疆阿克苏地区沙雅县
3.0,2023-10-20,09:12:54,36.53,83.77,11,新疆和田地区民丰县
3.1,2023-10-20,08:52:51,36.52,83.78,10,新疆和田地区民丰县
5.8,2023-10-20,08:04:20,12.30,143.45,20,马里亚纳群岛
3.1,2023-10-20,05:04:42,24.19,99.28,14,云南临沧市永德县
5.9,2023-10-20,02:58:50,7.65,126.35,20,菲律宾棉兰老岛
3.7,2023-10-19,17:59:12,41.31,83.78,12,新疆阿克苏地区库车市
3.1,2023-10-18,22:49:59,36.04,77.80,10,新疆和田地区皮山县
3.0,2023-10-18,10:07:55,21.74,111.86,10,广东阳江市江城区
5.3,2023-10-18,00:26:50,27.70,56.10,10,伊朗
3.0,2023-10-17,16:01:59,41.27,83.45,10,新疆阿克苏地区库车市
5.5,2023-10-17,13:10:04,27.50,56.05,10,伊朗
5.3,2023-10-17,12:59:23,27.55,56.15,10,伊朗
3.4,2023-10-17,02:40:36,31.25,100.83,14,四川甘孜州炉霍县
6.4,2023-10-16,19:35:30,52.40,-176.80,180,安德烈亚诺夫群岛
5.5,2023-10-16,18:42:11,25.00,125.70,30,琉球群岛西南部
3.0,2023-10-16,15:30:04,29.61,101.98,12,四川甘孜州泸定县
2.8,2023-10-16,11:07:15,21.74,111.77,13,广东阳江市阳西县
5.2,2023-10-15,19:15:38,31.00,49.40,10,伊朗
3.2,2023-10-15,18:50:33,34.68,89.80,9,青海海西州唐古拉地区
6.4,2023-10-15,11:36:01,34.75,62.30,10,阿富汗
3.4,2023-10-15,05:53:05,31.72,79.32,10,西藏阿里地区札达县
3.3,2023-10-15,02:22:16,35.52,89.60,9,西藏那曲市安多县
4.2,2023-10-14,22:04:05,23.92,122.36,19,台湾花莲县海域
4.9,2023-10-14,15:53:30,24.03,122.31,20,台湾花莲县海域
5.6,2023-10-14,14:34:08,-31.50,-179.90,400,新西兰克马德克群岛
5.8,2023-10-13,11:44:33,-51.75,139.65,10,麦夸里岛以西海域
2.3,2023-10-13,08:37:05,39.05,119.61,8,河北唐山市乐亭县海域
3.0,2023-10-12,22:02:43,41.28,83.28,10,新疆阿克苏地区库车市
6.3,2023-10-12,04:04:58,-52.00,139.75,10,麦夸里岛以西海域
5.4,2023-10-11,18:36:56,23.24,121.32,14,台湾花莲县
6.3,2023-10-11,08:41:55,34.55,61.95,10,阿富汗
3.3,2023-10-11,08:15:23,41.30,83.78,10,新疆阿克苏地区库车市
6.0,2023-10-10,18:01:28,-22.95,-66.35,260,阿根廷
5.6,2023-10-10,08:13:14,-23.65,-63.60,530,阿根廷
5.1,2023-10-10,02:23:08,49.05,21.75,10,斯洛伐克
3.6,2023-10-09,03:46:32,30.83,86.36,25,西藏那曲市尼玛县
5.9,2023-10-09,02:07:39,-3.10,148.35,10,俾斯麦海
